ga:date,bounceRate,sessions,pageviews,avgTimeOnPage,avgSessionDuration,avgPageLoadTime
20210221,23.302263648468706,751,927,373.0168539325843,88.47270306258322,8.1318125
20201021,91.25151883353585,823,925,301.6764705882353,37.399756986634266,6.3757631578947365
20210617,25.888324873096447,788,921,358.1470588235294,61.80203045685279,3.62575
20200903,91.05793450881612,794,920,287.46031746031747,45.623425692695214,6.692131868131868
20210604,24.75124378109453,804,920,424.35042735042737,61.75,29.3
20200811,90.73359073359073,777,916,222.49640287769785,39.8043758043758,6.990010869565217
20200805,87.73333333333333,750,914,238.3048780487805,52.12133333333333,7.136076086956522
20200921,89.280868385346,737,913,270.7556818181818,65.66757123473542,4.36130303030303
20200917,89.96088657105607,767,911,189.8125,35.636245110821385,6.728060240963855
20201019,86.72,625,907,154.5123674911661,69.9696,4.86595
20201016,85.8678955453149,651,906,153.265625,60.27188940092166,6.429310810810811
20210516,28.12071330589849,729,905,268.819209039548,65.25240054869684,6.4328
20201231,22.5,720,904,270.60215053763443,69.90555555555555,6.296188888888889
20210707,23.660130718954246,765,904,388.36170212765956,71.68366013071895,6.6452857142857145
20210528,23.596938775510203,784,895,453.5304347826087,68.28571428571429,3.9375714285714283
20210404,22.987012987012985,770,893,339.704,55.13896103896104,8.924833333333334
20200831,90.61696658097686,778,890,181.05357142857142,26.05912596401028,8.667973684210526
20200813,90.43927648578811,774,889,306.8086956521739,45.58010335917313,11.618377777777777
20200901,88.37876614060258,697,888,175.0,47.951219512195124,9.07408695652174
20200807,92.74092615769712,799,887,244.70454545454547,26.95118898623279,11.308838709677419
20201020,90.29649595687331,742,883,181.3758865248227,34.46630727762803,4.858326315789474
20201002,89.05817174515236,722,882,243.51875,55.32825484764543,6.721930555555556
20200918,90.26798307475318,709,880,207.23391812865498,49.987306064880116,7.344
20201015,85.20625889046943,703,880,224.64606741573033,56.92176386913229,5.771049382716049
20210501,26.104417670682732,747,880,347.91911764705884,63.38821954484605,4.599928571428571
20200812,90.0,760,877,237.88888888888889,36.61973684210526,8.58864423076923
20210320,28.169014084507044,639,872,258.8127659574468,95.17840375586854,8.8772
20200821,89.16776750330251,757,870,365.91150442477874,54.62087186261559,11.511215189873417
20200906,85.81687612208259,557,853,119.13175675675676,63.31597845601436,4.85331746031746
20210708,24.933333333333334,750,853,421.9428571428571,59.693333333333335,4.093333333333334
20210524,30.090791180285343,771,850,441.725,45.82879377431907,9.2605
20210529,23.71705963938974,721,846,369.26190476190476,64.52149791955617,5.348181818181818
20210710,67.38305941845765,791,846,421.19642857142856,29.82174462705436,3.5132857142857143
20210606,26.482758620689655,725,845,385.3057851239669,64.30620689655173,5.034333333333333
20200804,90.24725274725274,728,843,171.0782608695652,27.02335164835165,9.361033333333333
20200925,88.25136612021858,732,837,243.5943396226415,37.38251366120219,5.179333333333333
20210522,24.857954545454543,704,836,348.3805970149254,67.58806818181819,11.3555
20210705,24.828532235939644,729,836,493.56481481481484,73.12482853223594,5.2895
20210328,26.177285318559555,722,834,435.12389380530976,68.13434903047091,7.70675
20210611,26.222826086956523,736,833,418.24242424242425,56.25815217391305,9.5884
20200905,85.8195211786372,543,827,146.58802816901408,76.64272559852671,5.194735849056604
20210709,23.021582733812952,695,827,349.56296296296296,68.0043165467626,6.745666666666667
20210515,29.656160458452725,698,826,259.5923076923077,48.34957020057307,4.07875
20200923,86.25592417061611,633,818,219.14594594594595,65.51658767772511,11.906614583333335
20201014,85.08771929824562,684,818,206.09701492537314,40.37719298245614,4.822650602409639
20200828,89.92700729927007,685,817,242.71969696969697,46.767883211678836,12.138135802469137
20210509,25.14450867052023,692,817,424.44444444444446,77.28034682080924,10.487666666666666
20210628,21.768707482993197,735,817,495.09638554216866,55.90204081632653,4.7438
